Application Date,Planned Completion Date,Facility Name,Facility Owner,Operation Type,Permit Number,Project Type,School Address,School Level,School Name,School Website,Status,URL,Description,Planned Start Date
12/5/17,1/26/18,COOK-WISSAHICKON ES,,Renovation,AN17-001502,Incidental Removal Project,,Elementary/Middle,Cook-Wissahickon School,,Closed,https://www.citizenserve.com/Portal/PortalController?Action=viewPortalCase&type=Permit&workOrder_ID=77424982&permit_ID=3790126,"COOK-WISSAHICKON ES - CAP 1 SF OF BOILER BREECHING IN BOILER ROOM, REM <1 LF ACPFI IN BASEMENT ELEVATOR METER ROOM, CAP <1 LF ACPFI IN ROOM 3, ""REM 1 SF of VAT in 1st Floor Mail Room, REM 4 SF of VAT in 1st Floor Mail Room Closet (behind Elevator), REM 3 SF of VAT in 2nd Floor Storage room between Elevator & Women's Staff Restroom.",12/6/17
12/5/17,12/29/17,GIRLS HS,,Renovation,AN17-001501,Incidental Removal Project,,High,Philadelphia High School for Girls,,Closed,https://www.citizenserve.com/Portal/PortalController?Action=viewPortalCase&type=Permit&workOrder_ID=77424928&permit_ID=3790088,"GIRLS HS - REM 1 LF ACPFI AT SLOP SINK IN 3RD FLOOR HALL OUTSIDE WOMEN'S LOUNGE, REM 1 LF ACPFI AT SLOP SINK IN 3RD FLOOR HALL OUTSIDE OF MEN'S LOUNGE.",12/6/17
12/5/17,12/29/17,CROSSAN ES,,Renovation,AN17-001499,Small Removal Project,,Elementary,Kennedy C. Crossan School,,Closed,https://www.citizenserve.com/Portal/PortalController?Action=viewPortalCase&type=Permit&workOrder_ID=77424764&permit_ID=3789979,"CROSSAN ES- CAP 2 LF ACPI & 1 LF ACPI IN BUILDING ENGINEERS OFFICE/BOILER STORAGE AREA, CAP 1 LF ACPI IN CLASSROOM 3, CAP <1 LF ACPI IN CLASSROOM 2.",12/6/17
12/5/17,12/29/17,SHAWMONT ES,,Renovation,AN17-001503,Minor Removal Project,,Elementary/Middle,Shawmont School,,Closed,https://www.citizenserve.com/Portal/PortalController?Action=viewPortalCase&type=Permit&workOrder_ID=77425016&permit_ID=3790154,"SHAWMONT ES - CAP 1 LF ACPFI IN HALL FROM BAND ROOMS TO STORAGE ROOM NEAR B6, CAP <1 LF ACPFI IN HALL FROM BAND ROOMS TO BE SUPPLY ROOM, CAP <1 LF ACPFI IN CLSET NEX TO BE SUPPLY ROOM, CAP 2 LF ACPFI IN GYMNASIUM, CAP <1 LF ACPFI IN CLASSROOM 106 CLOSET, CAP 1 LF ACPI IN 2ND FLOOR GIRLS RR PIPE SHAFT, CAP <1 LF ACPFI IN CLASSROOM 201 CLOSET, CAP <1 LF ACPFI IN STAIRWELL NEX TO GYM AND SCHOOL STORE.",12/6/17
12/5/18,12/7/18,W. WILSON MS,,Emergency Renovation,AN18-001456,Minor Removal Project,,Middle,Woodrow Wilson School,,Closed,https://www.citizenserve.com/Portal/PortalController?Action=viewPortalCase&type=Permit&workOrder_ID=78881333&permit_ID=4744638,W. WILSON MS - REM 3 LF ACPI IN WATER METER ROOM AND 1 SF OF ACPI DEBRIS IN BOILER ROOM.,12/5/18
12/5/18,12/17/18,SOLIS-COHEN ES,,Renovation,AN18-001453,Non Friable Removal,,Elementary,Solomon Solis-Cohen School,,Closed,https://www.citizenserve.com/Portal/PortalController?Action=viewPortalCase&type=Permit&workOrder_ID=78880946&permit_ID=4744369,"SOLIS-COHEN ES - REM 140 sf OF VAT IN IMC OFFICE, 140 sf OF VAT IN IMC COPY ROOM, 681 sf OF VAT IN CLASSROOM 19, ""24 SF OF VAT IN B HALLWAY AT MAIN CORRIDOR"".",11/29/18
12/5/19,1/19/20,DOBBINS HS,,Emergency Renovation,AN19-001218,Minor Removal Project,,High,Murrell Dobbins Career and Technical High School,,Closed,https://www.citizenserve.com/Portal/PortalController?Action=viewPortalCase&type=Permit&workOrder_ID=81186537&permit_ID=6712702,"DOBBINS HS - CAP 1 LF ACPI IN 134, 1 LF ACPI IN CAFETERIA WEST END, REM 10 LF ACPI IN MEN'S RESTROOM BEHIND CAFETERIA.",12/5/19
12/5/19,1/4/20,NORTHEAST HS,,Renovation,AN19-001220,Minor Removal Project,,High,Northeast High School,,Closed,https://www.citizenserve.com/Portal/PortalController?Action=viewPortalCase&type=Permit&workOrder_ID=81186721&permit_ID=6712834,"NORTHEAST HS - REM 2 LF ACPFI IN BOY'S RESTROOM ADJ CAFETERIA, 15 LF ACPI IN FOOD STORAGE & COMPRESSOR ROOM IN KITCHEN WALL 1 NEXT TO FREEZER, 15 LF ACPI IN FOOD STORAGE & COMPRESSOR ROOM IN KITCHEN WALL 3 NEXT TO COMPRESSOR, 2 LF ACPFI IN FOOD STROAGE & COMPRESSOR ROOM IN KITCHEN WALL 4, REM 75 SF of VAT in 102 Roster Office.",12/6/19
12/5/19,12/31/19,ROOSEVELT ES,,Emergency Renovation,AN19-001219,Minor Removal Project,,Elementary/Middle,Theodore Roosevelt School,,Closed,https://www.citizenserve.com/Portal/PortalController?Action=viewPortalCase&type=Permit&workOrder_ID=81186546&permit_ID=6712708,"ROOSEVELT E.S. - REM 12 LF ACPI IN COMPUTER ROOM 301, CAP 1 LF ACPI IN 100/101, 1 LF ACPI IN HALL H212 OUTSIDE 215-202, 1 LF ACPFI IN KITCHEN 120.",12/5/19
12/6/16,2/28/17,Mayfair Elementary School,,Renovation,AN16-001718,Major Removal Project,,Elementary/Middle,Mayfair School,,Closed,https://www.citizenserve.com/Portal/PortalController?Action=viewPortalCase&type=Permit&workOrder_ID=76733856&permit_ID=3410537,VAT removal and transite cove base,12/29/16
12/6/16,1/4/17,DUCKREY ES,,Renovation,AN16-001717,Minor Removal Project,,Elementary/Middle,Tanner G. Duckrey School,,Closed,https://www.citizenserve.com/Portal/PortalController?Action=viewPortalCase&type=Permit&workOrder_ID=76733744&permit_ID=3410459,DUCKREY ES - REM 8 LF in Basement Art Room.,12/7/16
12/6/17,12/29/17,HARRINGTON ES,,Renovation,AN17-001512,Minor Removal Project,,Elementary/Middle,Avery D. Harrington School,,Closed,https://www.citizenserve.com/Portal/PortalController?Action=viewPortalCase&type=Permit&workOrder_ID=77454628&permit_ID=3818900,"HARRINGTON ES - REM 7 LF ACPI IN ROOM 201, 3 LF ACPI IN 103, CAP 1 LF ACPI IN 103 CLOSET AND 1 LF ACPI IN 303 CLOSET.",12/7/17
12/6/17,12/29/17,POLLOCK ES,,Renovation,AN17-001510,Minor Removal Project,,Elementary,Robert B. Pollock School,,Closed,https://www.citizenserve.com/Portal/PortalController?Action=viewPortalCase&type=Permit&workOrder_ID=77454446&permit_ID=3818782,"POLLOCK ES - REM 5 SF OF VAT IN 1ST FLOOR HALL BY 101, REM 4 SF OF VAT IN GROUND FLOOR BY STAIRWELL #4, REM 10 SF OF VAT IN ROOM 107, REM 3 LF ACPI IN ROOM 17-SERVICE SINK TRAP.",12/7/17
12/6/17,1/5/18,RHAWNHURST ES,,Renovation,AN17-001511,Minor Removal Project,,Elementary,Rhawnhurst School,,Closed,https://www.citizenserve.com/Portal/PortalController?Action=viewPortalCase&type=Permit&workOrder_ID=77454506&permit_ID=3818827,"RHAWNHURST ES - CAP 1 LF ACPI IN SPEECH ROOM OFFICE 102B, CAP 1 LF ACPFI IN 108, CAP 1 LF ACPI IN 103, REM 8 SF OF VAT IN FOYER LEADING TO ANNEX, REM 4 LF ACPI & 1 LF ACPFI IN GYM.",12/7/17
12/6/18,3/1/19,ACADEMY AT PALUMBO HS,,Renovation,AN18-001462,Major Removal Project,,High,Academy at Palumbo,,Final Documentation Overd,https://www.citizenserve.com/Portal/PortalController?Action=viewPortalCase&type=Permit&workOrder_ID=78883099&permit_ID=4745648,ACADEMY AT PALUMBO HS - SEE NOTIFICATION WITH 22 LOCATIONS - 35 LINE ITEMS.,12/20/18
12/6/19,12/8/19,SULLIVAN ES,,Renovation,AN19-001225,Small Removal Project,,Elementary,James J. Sullivan School,,Closed,https://www.citizenserve.com/Portal/PortalController?Action=viewPortalCase&type=Permit&workOrder_ID=81188598&permit_ID=6713882,SULLIVAN ES - REM 2 SF OF ACM DEBRIS IN BOILER ROOM.,12/6/19
12/6/19,12/9/19,BETHUNE ES,,Renovation,AN19-001224,Small Removal Project,,Elementary/Middle,Mary M. Bethune School,,Closed,https://www.citizenserve.com/Portal/PortalController?Action=viewPortalCase&type=Permit&workOrder_ID=81188585&permit_ID=6713869,BETHUNE ES - REM 2 LF ACPFI IN ROOM 123A.,12/7/19
12/6/21,1/10/22,BODINE HS,,Renovation,AN21-001296,Minor Removal Project,,High,William W. Bodine High School,,Approved-ASB,https://www.citizenserve.com/Portal/PortalController?Action=viewPortalCase&type=Permit&workOrder_ID=84548838&permit_ID=9489622,"BODINE HS - REM 64 SF OF MASTIC ASSOC. W/ 12 X 12 FLOOR TILE IN GYM/CAFE, REM 8 LF ACPI IN HALL FROM FAN ROOM TO BOILER ROOM, REM 2 LF ACPFI IN FAN ROOM 010.",12/7/21
12/6/21,1/10/22,SHAWMONT ES,,Renovation,AN21-001295,Incidental Removal Project,,Elementary/Middle,Shawmont School,,Approved-ASB,https://www.citizenserve.com/Portal/PortalController?Action=viewPortalCase&type=Permit&workOrder_ID=84548817&permit_ID=9489603,SHAWMONT ES - REM <1 LF ACPFI IN BOOK STORAGE 305E.,12/7/21
12/6/21,1/10/22,FELTONVILLE INTERMEDIATE ACADEMY,,Renovation,AN21-001294,Incidental Removal Project,,Elementary,Feltonville Intermediate School,,Approved-ASB,https://www.citizenserve.com/Portal/PortalController?Action=viewPortalCase&type=Permit&workOrder_ID=84548806&permit_ID=9489590,FELTONVILLE INTERMEDIATE ACADEMY - REM 1 LF ACPFI IN HALL H11 BETWEEN GYM &104.,12/7/21
12/7/16,12/16/16,Academy at Palumbo,,Emergency Renovation,AN16-001721,Minor Removal Project,,High,Academy at Palumbo,,Closed,https://www.citizenserve.com/Portal/PortalController?Action=viewPortalCase&type=Permit&workOrder_ID=76735418&permit_ID=3411294,Academy At Palumbo,12/7/16
12/7/17,12/11/17,OLNEY ASPIRA HS,,Renovation,AN17-001523,Minor Removal Project,,High,Aspira Charter School at Olney,,Closed,https://www.citizenserve.com/Portal/PortalController?Action=viewPortalCase&type=Permit&workOrder_ID=77457928&permit_ID=3821123,"OLNEY ASPIRA HS - CAP 1 LF ACPI & REM 1 SF DEBRIS IN STORAGE ROOM 443, REMOVE 10 LF ACPI ON PIPE 1 & 10 LF ACPI ON PIPE 2 IN CLASSROOM 221.",12/8/17
12/7/21,12/8/21,HOUSTON ES,,Emergency Renovation,AN21-001303,Minor Removal Project,,Elementary/Middle,Henry H. Houston School,,Closed,https://www.citizenserve.com/Portal/PortalController?Action=viewPortalCase&type=Permit&workOrder_ID=84551105&permit_ID=9491389,HOUSTON ES - REM 16 LF ACPI & <1 LF ACPFI IN CLASSROOM 205.,12/7/21
12/7/21,12/8/21,PIERCE ES @ PRATT BUILDING,,Renovation,AN21-001304,Incidental Removal Project,,Elementary,Anna B. Pratt School (Closed),,Closed,https://www.citizenserve.com/Portal/PortalController?Action=viewPortalCase&type=Permit&workOrder_ID=84551230&permit_ID=9491484,"Pierce ES @ Pratt Bldg - REM <1 SF OF AC PAINT IN 1ST FLOOR HALL, HALL FROM BOIELR ROOM TO CAFE, & CUDTODIAL OFFICE B09.",12/8/21
12/7/21,12/6/21,Philip Sheridan Elementary School,,Renovation,AN21-001300,Incidental Removal Project,,Elementary,Philip H. Sheridan School,,Closed,https://www.citizenserve.com/Portal/PortalController?Action=viewPortalCase&type=Permit&workOrder_ID=84550274&permit_ID=9490754,Caulk,12/6/21
12/7/21,12/8/21,DECATUR ES,,Renovation,AN21-001305,Incidental Removal Project,,Elementary/Middle,Stephen Decatur School,,Closed,https://www.citizenserve.com/Portal/PortalController?Action=viewPortalCase&type=Permit&workOrder_ID=84551256&permit_ID=9491501,DECATUR ES - REM <1 SF OF AC PAINT IN ANNEX HALL OUTSIDE MECHANICAL / IT ROOM.,12/8/21
12/7/21,12/8/21,HANCOCK ES,,Renovation,AN21-001306,Incidental Removal Project,,Elementary/Middle,John Hancock Demonstration School,,Closed,https://www.citizenserve.com/Portal/PortalController?Action=viewPortalCase&type=Permit&workOrder_ID=84551282&permit_ID=9491519,"HANCOCK ES - REM <1 SF OF AC WALL PAINT IN LOBBY AREA NEXT TO BE OFFICE, CLASSROOM 103, 103 CLOSET & INTERMEDIATE DISTRIBUTION FRAME ROOM NEXT TO 103.",12/8/21
12/8/16,1/6/17,solis-cohen es,,Renovation,AN16-001729,Minor Removal Project,,Elementary,Solomon Solis-Cohen School,,Closed,https://www.citizenserve.com/Portal/PortalController?Action=viewPortalCase&type=Permit&workOrder_ID=76737182&permit_ID=3412372,"Solis-Cohen ES - REM 30 SF VAT in Main Lobby, REM 6 SF transite & 8 lf ACPI i Basement Boiler Room, REM 150 sf VAT in D Wing Room 18, REM 60 sf VAT in Room 30.",12/9/16
12/8/16,1/6/17,FELTONVILLE INTERMEDIATE ACADEMY,,Renovation,AN16-001728,Minor Removal Project,,Elementary,Feltonville Intermediate School,,Closed,https://www.citizenserve.com/Portal/PortalController?Action=viewPortalCase&type=Permit&workOrder_ID=76737161&permit_ID=3412352,"FELTONVILLE INTERMEDIATE ACADEMY: REM 3 LF ACPI IN ROOM 113, CAP 1 LF ACPI IN 3RD FLOOR HALL ABOVE CEILING, CAP 1 LF ACPI IN ROOM 304, CAP <1 LF ACPFI IN ROOM 201, CAP <1 LF ACPFI IN 1ST FLOOR YOUNG MEN'S RESTROOM & CAP 11 LF ACPI IN ROOM 104.",12/9/16
12/8/16,2/3/17,LINCOLN FIELD HOUSE,,Renovation,AN16-001730,Minor Removal Project,,High,Abraham Lincoln High School,,Closed,https://www.citizenserve.com/Portal/PortalController?Action=viewPortalCase&type=Permit&workOrder_ID=76737229&permit_ID=3412406,"LINCOLN HS FIELD HOUSE - CAP 2 LF ACPFI IN BOILER ROOM, 1 LF ACPFI IN BOILER ROOM OFFICE, 1 LF ACPFI IN FRONT STORAGE RM IN BOIELR RM, 3 LF ACPFI IN FOOTBALL LOCKER ROOM, 1 LF ACPFI IN DRYING AREA BETWEEN SHOWERS AND OOTBALL LOCKER RM, <1 LF ACPFI IN FAN ROOM, <1 LF ACPFI IN CUSTODIAL CLOSE NEAR FOOTBALL COACHES OFFICE, <1 LF ACPFI IN STROAGE RM NEX TO FOOTBALL COACES OFFICE, 1 LF ACPFI IN MIDDLE LOCKER ROOM, <1 LF ACPFI IN MAINTENANCE EQUIPMENT GARAGE, <1 LF ACPFI IN BASEBALL LOCKER RM, 3 LF AC",1/9/17
12/8/17,1/19/18,PATTERSON ES,,Renovation,AN17-001525,Minor Removal Project,,Elementary,John M. Patterson School,,Closed,https://www.citizenserve.com/Portal/PortalController?Action=viewPortalCase&type=Permit&workOrder_ID=77459454&permit_ID=3822443,"PATTERSON ES - REM 34 LF ACPI IN BOILER ROOM LARGE STORAGE ROOM ADJ FAN ROOM (6 AREAS), CAP 1 LF ACPI IN BASEMENT BOILER ROOM, CAP 1 LF ACPI IN BASEMENT BE OFFICE, REM 12 SF OF VAT IN 108, REM 7 SF OF VAT IN 110.",12/11/17
12/8/17,1/19/18,DUNBAR ES,,Renovation,AN17-001526,Minor Removal Project,,Elementary/Middle,Paul L. Dunbar School,,Closed,https://www.citizenserve.com/Portal/PortalController?Action=viewPortalCase&type=Permit&workOrder_ID=77459773&permit_ID=3822586,"DUNBAR ES - REM 16 LF ACPI IN 2ND FLOOR LOUNGE BATHROOM SCC, REM 20 LF ACPI & 3 LF ACPFI IN BASEMENT BOYS RESTROOM, REM 10 SF OF VAT IN 1ST FLOOR STAFF BATHROOM AND 10 SF OF VAT IN ROOM 108.",12/11/17
12/8/21,1/31/22,Ludlow School,,Renovation,AN21-001307,Major Removal Project,,Elementary/Middle,James R. Ludlow School,,Issued-ASB,https://www.citizenserve.com/Portal/PortalController?Action=viewPortalCase&type=Permit&workOrder_ID=83884701&permit_ID=9492919,Removal of Pipe Insulation and Pipe Fittings,12/13/21
12/9/16,12/16/16,CENTRAL HS,,Emergency Renovation,AN16-001732,Minor Removal Project,,High,Central High School,,Closed,https://www.citizenserve.com/Portal/PortalController?Action=viewPortalCase&type=Permit&workOrder_ID=76737548&permit_ID=3412601,CENTRAL HS - REM 30 LF ACPI IN ROOM 237.,12/9/16
12/9/19,2/1/20,SLA @ BEEBER,,Renovation,AN19-001235,Minor Removal Project,,Middle/High,The Science Leadership Academy at Beeber,,Closed,https://www.citizenserve.com/Portal/PortalController?Action=viewPortalCase&type=Permit&workOrder_ID=81192516&permit_ID=6715721,"SLA @ BEEBER - REM 7 LF ACPI IN CLASSROOM 106, CAP <1 LF ACPI IN CAFE OFFICE RESTROOM, REM <1 LF ACPFI & 3 LF ACPI IN 104 CLOSET, CAP 1 LF ACPI IN CAFE CLOSET, 307, FORMER DRESSING ROOM, REM 12 LF ACPI IN HALL BETWEEN BOILER ROOM & HS GYM, 10 LF ACPI IN HALL NEAR MS GYM.",12/10/19
12/9/19,1/3/20,KENSINGTON HS,,Renovation,AN19-001234,Minor Removal Project,,High,Kensington High School,,Closed,https://www.citizenserve.com/Portal/PortalController?Action=viewPortalCase&type=Permit&workOrder_ID=81192321&permit_ID=6715567,"KENSINGTON HS - CAP 3 LF ACPI IN CLASSROOM 5 & REM 12 LF ACPI IN BE SMALL REAR STORAGE ROOM, REM 7 LF ACPFI & 16 LF ACPI in Exit Foyer next to Parking Lot Exit Doors & REM 1 SF of Pipe Debris in Classroom 004.",12/9/19
12/9/19,2/1/20,MASTERMAN HS,,Renovation,AN19-001231,Major Removal Project,,Middle/High,Julia R. Masterman School,,Closed,https://www.citizenserve.com/Portal/PortalController?Action=viewPortalCase&type=Permit&workOrder_ID=81192287&permit_ID=6715532,"MASTERMAN HS - CAP 1 LF ACPI & 1 LF ACPFI IN CLASSROOM 12, 1 LF CPI IN BE OFFICE, 1 LF ACPI IN ROOM 15, 1 LF ACPI IN ROOM 9, 2 LF ACPI & 1 LF ACPFI IN 14B STAGE ROOM, 2 LF ACPI IN SERVICE ROOM STORAGE CLOSET BY ELEVATOR 2, 10 LF IN ROOM 10, 1 LF ACPI IN STAGE EXT NEXT TO STAIRWELL, REM 4 LF ACPI IN PUMP ROOM, CAP 1 LF ACPI IN ROOMS 101, 104, 202, 205, 207, 209, 211, 203, 201, 301, 303, 305, 307, 309, 311, 313, 304, 302, <1 SF OF PLASTER WALL IN NURSES OFFICE, REM 5 SF OF ACOUSTICAL CEILING TILE",12/9/19
12/9/19,12/9/19,MITCHELL ES,,Renovation,AN19-001233,Minor Removal Project,,Elementary/Middle,S. Weir Mitchell School,,Closed,https://www.citizenserve.com/Portal/PortalController?Action=viewPortalCase&type=Permit&workOrder_ID=81192304&permit_ID=6715552,"MITCHELL ES - REM 6 LF ACPI IN ROOM 109, CAP 1 LF ACPI IN GYM 001B.",12/9/19
12/9/20,12/19/20,ROOSEVELT ES,,Renovation,AN20-001161,Minor Removal Project,,Elementary/Middle,Theodore Roosevelt School,,Closed,https://www.citizenserve.com/Portal/PortalController?Action=viewPortalCase&type=Permit&workOrder_ID=82821189&permit_ID=7847876,"ROOSEVELT ES - REM 20 LF ACPI IN HALL H316 OUTSIDE 317-302, REM 15 LF ACPI IN CLASSROOM 201.",12/10/20
12/9/20,1/9/21,MOORE ES,,Renovation,AN20-001162,Major Removal Project,,Elementary,J. Hampton Moore School,,Closed,https://www.citizenserve.com/Portal/PortalController?Action=viewPortalCase&type=Permit&workOrder_ID=82821426&permit_ID=7848069,"MOORE ES - REM 25 SF OF VDC IN MECHANICAL ROOM TO RIGHT OF 219, REM 25 SF OF VDC IN MECANICAL ROOM, 5000 SF OF VAT IN GYMATERIA, 10 SF OF VAT IN STAIR S10 NEXT TO GYM, 15 lF OF ACPI/ACPFI IN STORAGE 104C ACROSS 113, 60 SF OF TRANSITE IN GYM BOY'S BATHROOM, 60 SF OF TRANSITE IN GYM GIRL'S BATHROOM, 32 LF ACPI IN GYM PIPE CHASE, CAP 1 LF ACPI IN 109, CAP 1 LF ACPI IN VICE PRINCPALS OFFICE 111, CAP 1 LF ACPI IN COMPRESSOR ROOM IN MAIN LOBBY, REM 4 SF OF VAT IN 103A, REM 63 SF OF VAT IN STAGE CLOSET",12/11/20
12/9/21,1/31/22,Furness High School,,Renovation,AN21-001317,Major Removal Project,,High,Furness High School,,Issued-ASB,https://www.citizenserve.com/Portal/PortalController?Action=viewPortalCase&type=Permit&workOrder_ID=84555216&permit_ID=9495343,Removal of Pipe Insulation and Pipe Fittings CMU Paint,12/13/21
12/9/21,12/30/21,Comly School,,Renovation,AN21-001316,Non Friable Removal,,Elementary,Watson Comly School,,Closed,https://www.citizenserve.com/Portal/PortalController?Action=viewPortalCase&type=Permit&workOrder_ID=84555425&permit_ID=9495228,Removal of Floor Tile,12/10/21
12/9/21,12/14/21,MAYFAIR ES,,Renovation,AN21-001320,Non Friable Removal,,Elementary/Middle,Mayfair School,,Closed,https://www.citizenserve.com/Portal/PortalController?Action=viewPortalCase&type=Permit&workOrder_ID=84555806&permit_ID=9495547,MAYFAIR ES - REM 5 SF OF VAT AND MASTIC IN ROOM 213.,12/10/21
12/9/21,12/9/21,SHEPPARD ES,,Emergency Renovation,AN21-001318,Minor Removal Project,,Elementary,Isaac A. Sheppard School,,Closed,https://www.citizenserve.com/Portal/PortalController?Action=viewPortalCase&type=Permit&workOrder_ID=84555590&permit_ID=9495356,SHEPPARD ES - REM 5 LF ACPFI IN 207 & 2 LF ACPFI IN 202.,12/9/21
12/10/21,1/31/22,Richard R Wright Elementary School,,Renovation,AN21-001322,Major Removal Project,,Elementary,Richard R. Wright School,,Issued-ASB,https://www.citizenserve.com/Portal/PortalController?Action=viewPortalCase&type=Permit&workOrder_ID=84557042&permit_ID=9496523,Encapsulation of asbestos paint & caulk,12/13/21
12/11/19,12/13/19,HOPKINSON ES,,Renovation,AN19-001253,Minor Removal Project,,Elementary/Middle,Francis Hopkinson School,,Closed,https://www.citizenserve.com/Portal/PortalController?Action=viewPortalCase&type=Permit&workOrder_ID=81196866&permit_ID=6718445,HOPKINSON ES - REM 24 LF ACPI & 4 LF ACPFI IN 2ND FLOOR COUNSELOR'S OFFICE 212.,12/12/19
12/11/20,2/28/21,John Hancock Elementary School,,Renovation,AN20-001166,Minor Removal Project,,Elementary/Middle,John Hancock Demonstration School,,Closed,https://www.citizenserve.com/Portal/PortalController?Action=viewPortalCase&type=Permit&workOrder_ID=82825813&permit_ID=7850876,Ceiling tiles / debris various areas,12/14/20
12/12/18,12/17/18,JOHN B STETSON,,Renovation,AN18-001485,Minor Removal Project,,Middle,Aspira Charter School at Stetson,,Closed,https://www.citizenserve.com/Portal/PortalController?Action=viewPortalCase&type=Permit&workOrder_ID=78892237&permit_ID=4750618,REMOVAL OF PIPE INSULATION IN CEILING IN SMALL STORAGE ROOM,12/15/18
12/12/18,1/19/19,GREENFIELD ES,,Renovation,AN18-001488,Non Friable Removal,,Elementary/Middle,Albert M. Greenfield School,,Closed,https://www.citizenserve.com/Portal/PortalController?Action=viewPortalCase&type=Permit&workOrder_ID=78892557&permit_ID=4750840,"GREENFIELD ES - REM 275 SF OF VAT IN 106A, 275 SF OF VAT IN 106, 450 SF OF VAT IN GYM NEAR COACHS OFFICE, 450 SF OF VAT IN GYM NEAR RESTROOMS, 100 SF OF VAT IN GYM AT SANSOM DOORS.",12/13/18
12/12/19,4/5/20,TAGGART ES,,Renovation,AN19-001261,Minor Removal Project,,Elementary/Middle,John H. Taggart School,,Approved-ASB,https://www.citizenserve.com/Portal/PortalController?Action=viewPortalCase&type=Permit&workOrder_ID=81198712&permit_ID=6719725,"TAGGART ES - REM 3 SF OF ROPE & 3 SF OF PACKING FROM BOILER #2, REM 15 LF ACPI IN ROOM 104.",12/13/19
12/12/19,2/13/20,TILDEN MS,,Renovation,AN19-001263,Incidental Removal Project,,Middle,William T. Tilden School,,Approved-ABS,https://www.citizenserve.com/Portal/PortalController?Action=viewPortalCase&type=Permit&workOrder_ID=81198778&permit_ID=6719775,TILDEN MS - CAP 1 LF ACPI IN KITCHEN MANAGERS RESTROOM.,2/13/20
12/12/19,1/4/20,BARTRAM HS,,Renovation,AN19-001264,Minor Removal Project,,High,John Bartram High School,,Closed,https://www.citizenserve.com/Portal/PortalController?Action=viewPortalCase&type=Permit&workOrder_ID=81198796&permit_ID=6719795,"BARTRAM HS - ""REM 8"" LF ACPI IN 123, CAP 1 LF ACPI IN 310A, 2 LF ACPI IN LIBRARY 213, 1 LF ACPI IN 204, 1 LF ACPI IN 205.",12/13/19
12/12/19,2/2/20,WILSON MS,,Renovation,AN19-001260,Minor Removal Project,,Middle,Woodrow Wilson School,,Approved-ABS,https://www.citizenserve.com/Portal/PortalController?Action=viewPortalCase&type=Permit&workOrder_ID=81198666&permit_ID=6719682,"W. WILSON MS - REM 5 LF ACPI IN BOY'S CAFETERIA 115, See notification for 26 added areas.",12/13/19
12/13/16,12/16/16,LUDLOW ES,,Emergency Renovation,AN16-001743,Incidental Removal Project,,Elementary/Middle,James R. Ludlow School,,Closed,https://www.citizenserve.com/Portal/PortalController?Action=viewPortalCase&type=Permit&workOrder_ID=76751386&permit_ID=3423795,LUDLOW ES - REM 2 LF ACPI IN FIRST FLOOR GIRLS BATHROOM.,12/13/16
12/13/19,12/15/19,GOMPERS ES,,Renovation,AN19-001268,Incidental Removal Project,,Elementary/Middle,Samuel Gompers School,,Closed,https://www.citizenserve.com/Portal/PortalController?Action=viewPortalCase&type=Permit&workOrder_ID=81200778&permit_ID=6720942,GOMPERS ES - REM <1 LF ACPFI IN BOILER ROOM.,12/14/19
12/13/21,1/3/22,AS JENKS ES,,Renovation,AN21-001329,Minor Removal Project,,Elementary,Abram S. Jenks School,,Closed,https://www.citizenserve.com/Portal/PortalController?Action=viewPortalCase&type=Permit&workOrder_ID=84562568&permit_ID=9501322,AS JENKS ES - 33 LOCATIONS OF CAP <1 LF ACPI/ACPFI & REM <1 LF ACPFI IN STORAGE ROOM 14.,12/14/21
12/14/16,12/16/16,BEEBER MS,,Emergency Renovation,AN16-001753,Minor Removal Project,,Middle/High,The Science Leadership Academy at Beeber,,Closed,https://www.citizenserve.com/Portal/PortalController?Action=viewPortalCase&type=Permit&workOrder_ID=76752317&permit_ID=3424426,BEEBER MS - REM 12 LF ACPI IN ROOM 101.,12/14/16
12/14/18,1/19/19,DAY ES,,Renovation,AN18-001498,Minor Removal Project,,Elementary/Middle,Anna B. Day School,,Closed,https://www.citizenserve.com/Portal/PortalController?Action=viewPortalCase&type=Permit&workOrder_ID=78896027&permit_ID=4752833,"DAY ES - REM 70 SF OF VAT, 3 LF ACPFI & 10 LF ACPI IN STAIRWELL ADJ 1ST FLOOR BOY'S RESTROOM, 6 LF ACPI IN MAIN BLDG GIRLS GYM GANG BATHROOM IN GYM HALLWAY, 10 SF OF VAT IN MAIN BLDG RM 108, 7 SF OF VAT IN MAIN BLDG 1ST FLR DUVAL ST FOYER, 5 SF OF VAT IN MAIN BLDG IN 1ST FLR DUVAL ST EXIT, REM 20 SF OF DOORS IN LSH ENGINEERS HALLWAY, ""REM 265 SF of VAT in 206, 25 sf of VAT in hall across 206, 25 SF of VAT in hall at custodial closet by 202"".",12/17/18
12/14/18,12/21/18,G WASHINGTON HS,,Renovation,AN18-001497,Incidental Removal Project,,High,George Washington High School,,Closed,https://www.citizenserve.com/Portal/PortalController?Action=viewPortalCase&type=Permit&workOrder_ID=78895847&permit_ID=4752700,G WASHINGTON HS - REM 1 LF ACPFI IN BASEMENT SCHOOL POLICE OFFICE NEXT TO BE OFFICE.,12/17/18
